Channel Id,Channel Url,Channel Title
UCClfFsWcT3N2I7VTXXyt84A,http://www.youtube.com/channel/UCClfFsWcT3N2I7VTXXyt84A,Salem Techsperts
UCD82ApkCrPC0IR8EkeJMLiA,http://www.youtube.com/channel/UCD82ApkCrPC0IR8EkeJMLiA,Mohan
UCDf4TA5HbAILMHqT8SsJvWA,http://www.youtube.com/channel/UCDf4TA5HbAILMHqT8SsJvWA,G bHP
UCEFLLSmyV7Ys0FnXh412YCw,http://www.youtube.com/channel/UCEFLLSmyV7Ys0FnXh412YCw,GM Tech
UCEPaZPmT-T9dZ-f4GUdNmQw,http://www.youtube.com/channel/UCEPaZPmT-T9dZ-f4GUdNmQw,Historia
UCERm5yFZ1SptUEU4wZ2vJvw,http://www.youtube.com/channel/UCERm5yFZ1SptUEU4wZ2vJvw,Jeremy Ethier
UCESYlq-O1XQGRwBjOyHU5NA,http://www.youtube.com/channel/UCESYlq-O1XQGRwBjOyHU5NA,Keep Everything Yours
UCETdq2SP0JL7T7enTAk76XQ,http://www.youtube.com/channel/UCETdq2SP0JL7T7enTAk76XQ,Dikshant
UCEWpbFLzoYGPfuWUMFPSaoA,http://www.youtube.com/channel/UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor
UCEdvpU2pFRCVqU6yIPyTpMQ,http://www.youtube.com/channel/UCEdvpU2pFRCVqU6yIPyTpMQ,Marshmello
UCEw_m62MPKs-ltrMcg34oaw,http://www.youtube.com/channel/UCEw_m62MPKs-ltrMcg34oaw,carversal
UCExYsiiDrrCoE1LmFmKFj-A,http://www.youtube.com/channel/UCExYsiiDrrCoE1LmFmKFj-A,Esl US
UCF3HC9AaHNwqpBOiFS-bpow,http://www.youtube.com/channel/UCF3HC9AaHNwqpBOiFS-bpow,Aaditya Kulshreshth aka Kullu
UCF7BExjT2zH_mmyqOB139Dg,http://www.youtube.com/channel/UCF7BExjT2zH_mmyqOB139Dg,Apni Kaksha Official
UCFkkZvH6LXCbfVpATopERYQ,http://www.youtube.com/channel/UCFkkZvH6LXCbfVpATopERYQ,Unacademy
UCG5KB3yJEvWS9tal134vPQg,http://www.youtube.com/channel/UCG5KB3yJEvWS9tal134vPQg,Nutshell
UCG9Yaf1rJ6RIr6Svs8LnO9A,http://www.youtube.com/channel/UCG9Yaf1rJ6RIr6Svs8LnO9A,Howisthis Channel
